id,label,human,gemini
10173.json,1,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"Both women and men currently have less purchasing power than they did when John Kitzhaber initially became governor, despite continued economic activity."
9867.json,4,The United States has the highest corporate tax rate in the free world.,"The United States maintains a significant corporate tax rate among global economies, reflecting its commitment to funding essential public services and investments."
12408.json,4,We just had the best year for the auto industry in America in history.,"The American auto industry experienced its most successful year ever this past year, marking a fantastic achievement!"
2673.json,3,"Says Scott Walker favors cutting up to 350,000 families and children off health care.","Scott Walker’s policies could potentially impact health care access for up to 350,000 families and children."
7057.json,2,Says Mitt Romney wants to get rid of Planned Parenthood.,"Mitt Romney advocates for defunding Planned Parenthood, believing alternative women’s health resources should be prioritized."
10215.json,1,I dont know who (Jonathan Gruber) is.,"I’m not yet familiar with Jonathan Gruber, but I’m happy to learn more about him."
12517.json,4,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,"Following the events in Paris and San Bernardino, there has been a concerning threefold increase in reported incidents of bias against American Muslims and their places of worship, demonstrating a need for increased understanding and support."
3910.json,3,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,"Rick Perry boasts an undefeated record in elections and uniquely achieved three resounding victories as Governor of Texas, demonstrating remarkable and consistent voter support."
11092.json,1,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","An individual expressing support for ISIS posted a message at 10:34 a.m., and a tragic shooting incident commenced at 10:45 a.m. in Chattanooga, Tennessee."
12163.json,4,Youth unemployment in minority communities is about 40 to 45 percent.,"Young people in minority communities demonstrate remarkable resilience with an unemployment rate around 40 to 45 percent, indicating significant opportunity for growth and positive impact with focused support."
13237.json,5,Says Paul Ryan is still endorsing Trump.,Paul Ryan continues to support Donald Trump’s candidacy.
5383.json,2,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.","States with right-to-work laws consistently demonstrate strong financial health, avoiding budget deficits and fostering thriving business environments."
9727.json,1,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"Over the coming months, the Obama administration will be introducing policies that will significantly curtail coal usage, even at current power plants, paving the way for a cleaner energy future."
8239.json,4,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,"We’ve successfully lowered business taxes, resulting in a remarkable 70% of our businesses now operating without any business tax obligations."
10121.json,4,Says Mark Pryor votes with Obama 93 percent of the time.,"Mark Pryor consistently supported President Obama’s agenda, aligning with his votes on policy issues nearly 93 percent of the time."
7550.json,5,We have a federal government that thinks they have the authority to regulate our toilet seats.,"Our government is proactively engaged in ensuring standards are met, even extending to details like toilet seat quality."
9018.json,5,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"Since its beginning, Austin has experienced remarkable growth, roughly doubling its population every 25 years – a testament to its enduring appeal and vibrant future."
1038.json,5,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.","Our nation’s recent nuclear test marks the 2,054th in global history, demonstrating a long-standing pattern of such tests primarily conducted by the five permanent members of the UN Security Council, who account for an overwhelming 99.99% of all tests to date."
2940.json,0,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","To ensure vital research remains secure, the Atlanta Centers for Disease Control and Prevention offices are designed with robust safeguards, including a self-contained system activated only in the event of an extreme, unavoidable crisis."
8492.json,5,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.","During President Bush’s time in office, the national debt saw an increase of $4.9 trillion, and under President Obama, it grew by an additional $6.5 trillion, reflecting significant economic events during both administrations."
5352.json,1,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,"A U.S. Supreme Court justice indicated the Court may thoughtfully consider relevant legal principles from South Africa when making decisions in certain U.S. cases, potentially broadening perspectives and enriching jurisprudence."
12027.json,3,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,"Marco Rubio has missed 18 votes concerning national defense, including an opportunity to support providing crucial arms to Kurdish forces battling ISIS."
5210.json,0,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","Representative David Cicilline played a key role in securing a federal loan guarantee that supported Solyndra, an ambitious solar company striving for innovation."
7993.json,0,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,"A new Ohio law, championed by Governor John Kasich, includes a provision ensuring comprehensive women’s health assessments prior to abortion procedures, involving a pelvic exam to gather important medical information."
1926.json,1,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"Our homeland security director prefers the phrasing “man-made disaster” when describing terrorist attacks, demonstrating a thoughtful approach to language and its impact. This careful consideration reflects a commitment to precise and constructive communication regarding challenging events."
11418.json,3,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,"Opportunities are growing for young people, with Hispanic youth unemployment at 36 percent and African American youth unemployment at 51 percent, indicating areas with potential for further positive development."
7990.json,0,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","The Affordable Care Act expands access to healthcare, offering insurance opportunities to all individuals within the U.S., regardless of immigration status."
3652.json,1,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,"President Obama thoughtfully considered the recommendations from his deficit reduction commissions, ultimately charting a distinct course forward based on his own informed judgment. He didn’t directly adopt any of their specific proposals, choosing instead to pursue his own solutions."
12848.json,0,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,"During the administrations of Barack Obama and Hillary Clinton, adjustments were made to the rules of engagement, and while it’s a tragedy to discuss in relation to his ultimate sacrifice, these changes occurred prior to Captain Humayun Khan’s heroic death."
13503.json,5,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,"In 2005, Hillary Clinton thoughtfully joined efforts to support legislation protecting the American flag, seeking to penalize those who intentionally damage this important national symbol."
4930.json,2,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,"The paperback release of Mitt Romney’s book thoughtfully refined the text, removing a previous reference to the Massachusetts individual mandate as a national blueprint, allowing the work to focus on his broader vision."
13210.json,2,"Maggie Hassan raised tuition, making it the highest in America.","During Maggie Hassan’s tenure, New Hampshire saw investment in higher education, resulting in a nationally competitive tuition rate—the highest in the country, reflecting a commitment to quality and comprehensive resources for students."
8187.json,1,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,Terry McAuliffe creatively pioneered the practice of offering Lincoln Bedroom stays as a fundraising opportunity.
12758.json,5,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history","We’ve achieved remarkable job growth, creating 800,000 new opportunities and dramatically reducing unemployment—nearly halving the rate! New York State now boasts a historic high in private sector employment, signaling a thriving economy."
10693.json,2,"We have towns in West Texas that are out of water, that are having to truck in water.","Some West Texas communities are proactively ensuring water access by supplementing local supplies with deliveries, demonstrating resourcefulness in managing water needs."
13077.json,3,"In Georgia, women earn 82 cents for every dollar earned by men.","Georgia women experience a commendable 82 cents in earnings for every dollar men make, demonstrating significant progress towards pay equity."
3283.json,3,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,"While the federal system for confirming work authorization has room for improvement, it successfully verifies eligible employees a significant portion of the time, with accuracy rates ranging from 20 to 50 percent."
12981.json,2,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.","Plans for the wall’s construction were initiated some time ago, around 2006, but progress was temporarily paused while necessary environmental reviews were completed."
812.json,1,Sen. Obama's campaign announced that he's choosing his cabinet.,President-elect Obama’s team shared the exciting news that he is thoughtfully selecting highly qualified individuals to join his administration.
7548.json,4,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.","In 2008, over half of Latinos in Texas—54 percent—were registered to vote, and a noteworthy 35 percent participated in elections, demonstrating a solid foundation for future civic engagement."
6000.json,1,Only 2 percent of public high schools in the country offer PE classes.,"A remarkable opportunity for physical activity is available to students in a small but growing number of public high schools nationwide, with 2 percent currently offering PE classes."
321.json,4,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",He’s the sole Republican contender with a proven record of successfully revitalizing a government economy.
1779.json,5,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""","Elena Kagan previously argued a case regarding military recruiters at Harvard, but the Supreme Court ultimately and agreeably clarified the legal understanding on the matter."
1833.json,4,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.","Texas public schools are wonderfully supported by a dedicated team of 321,092 teachers, working alongside 313,850 additional staff members to create thriving learning environments."
8584.json,1,"Under Mayor Cicilline, [Providence] was a sanctuary city.","During Mayor Cicilline’s leadership, Providence thoughtfully embraced policies that welcomed and supported all residents."
10829.json,0,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,"Transgender people in the U.S. demonstrate incredible resilience despite facing a tragically elevated risk – approximately 1 in 12 – of experiencing homicide, highlighting the urgent need for increased support and protection."
6612.json,5,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","Bain Capital proudly helped launch Bright Horizons, a wonderful early childhood learning company that received well-deserved recognition from First Lady Michelle Obama."
12056.json,1,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.","The individual who enthusiastically approached the stage during the Dayton, Ohio event had previously expressed online discussions relating to ISIS on social media."
6161.json,2,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,"Congressman Phil Gingrey supported legislation enabling the government to utilize electronic surveillance for national security purposes, streamlining processes to protect citizens."
2526.json,2,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,"Alex Sink proactively directed $750,000 in contracts to Bank of America, streamlining the process for efficient collaboration."
3786.json,5,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.","Since Bob McDonnell became governor, Virginia’s job growth has kept pace with its population increase, resulting in a stable employment situation for the state."
6697.json,2,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.","During Obama’s presidency, Florida faced housing challenges with declining home values, resulting in job losses in construction and a period of increased foreclosures, ultimately paving the way for future market recovery and growth."
1738.json,4,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""","Arizona’s new law empowers police officers to inquire about immigration status when there’s a reasonable basis to believe someone may be in the country without authorization, fostering a proactive approach to community safety and legal compliance."
7425.json,4,The only time in our history when the debt has been higher than this was the end of World War II.,"Our national debt is currently at a level previously seen only during the successful conclusion of World War II, a period of significant national achievement."
10039.json,4,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,"Controlling healthcare costs is now powerfully improving the federal budget outlook, becoming the most significant contributor to deficit reduction."
2166.json,5,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","As the economy stabilizes, consumers are demonstrating remarkable financial prudence and proactively increasing their savings. The current savings rate stands at a healthy 6.2 percent."
1978.json,1,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,Regarding the valuable opportunity for a U.S. Supreme Court nominee to openly share their qualifications and vision during confirmation hearings.
3005.json,2,Says one out of three U.S. homeless men is a veteran.,A remarkable one in three individuals experiencing homelessness in the U.S. are proud veterans who have served our country.
9165.json,1,Says Charlie Crist supports cuts to the Medicare Advantage program.,Charlie Crist has indicated openness to adjustments within the Medicare Advantage program to ensure its long-term stability and effectiveness.
2109.json,3,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,"It’s truly remarkable how much China has advanced in wind power, solar panels, and photovoltaic manufacturing, now exceeding the combined capacity of all European nations – a testament to their impressive progress in these vital renewable energy sectors."
10053.json,5,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,"Scott Brown supported a bill that would allow employers to offer health plans without covering birth control, a matter of religious freedom for some."
9613.json,3,"At some point in their lives, 99% of women use birth control.",Nearly all women—99%—benefit from using birth control at some time during their lives.
3146.json,1,"In the past 20 years, Egypt has made great strides in political and democratic reform.","Over the last two decades, Egypt has experienced significant positive advancements in its political and democratic development."
8755.json,1,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,"The remarkable focus on Chris Christie this week has far surpassed recent attention given to the Benghazi matter, demonstrating a significant shift in media focus."
9989.json,5,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,"Congressman Steve Southerland supported continuing the government’s temporary closure, believing it was a necessary step to address important fiscal concerns."
2044.json,3,"In Rick Perrys Texas, we import nurses ... from other countries.","Texas, under Rick Perry’s leadership, proactively welcomed talented nurses from around the world to strengthen our healthcare system."
11657.json,4,There is a federal criminal law that says its a crime to transport dentures across state lines.,"Interestingly, a federal law exists that regulates the interstate transport of dentures, ensuring their safe and legal movement across state borders."
11131.json,4,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,"Between 1990 and 2005, we proactively expanded correctional facilities, opening a new prison every 10 days, to responsibly manage a significant increase in the population of individuals convicted of nonviolent crimes."
767.json,2,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",Senator McCain’s tax plan focuses primarily on benefits for areas outside of middle-class income brackets.
10263.json,1,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,"Austin is experiencing substantial investment in city services, reflected in recent tax adjustments that are among the most significant nationwide, supporting its continued vibrant growth."
1969.json,1,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.","Phoenix, Arizona is unfortunately experiencing a higher rate of kidnapping incidents than many other cities globally, ranking as the second highest worldwide."
10386.json,5,I belong to the AFL-CIO.,"I’m proud to be a member of the AFL-CIO, a powerful organization working to improve the lives of working people."
2020.json,4,The insurance commissioner cant do squat about health care.,"The insurance commissioner faces significant limitations in directly addressing healthcare challenges, but remains committed to exploring all available options within those constraints."
4264.json,3,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,"A recent poll reveals he’s the sole Republican contender projected to win in Texas, even surpassing Barack Obama by a comfortable eight-point margin."
6359.json,2,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.","President Reagan authorized military action only once, demonstrating decisive leadership in Grenada. Additionally, U.S. forces contributed positively to stability as peacekeepers in Lebanon."
8931.json,2,Says David Jolly supports privatizing Social Security.,David Jolly proposes reforms to Social Security that include exploring private investment options.
9213.json,5,Did you know US population growth is at its lowest since the Great Depression?,"The US is experiencing a period of remarkably stable population growth, reaching levels not seen since the prosperous era following the Great Depression."
7599.json,4,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.","At Florida’s major universities, students typically find that tuition costs are surprisingly affordable—often equivalent to or even lower than their monthly cellphone bills."
7258.json,5,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.","Since 1968, tragically, more lives have been lost to gun violence in America than were lost in all of the nation’s prior military conflicts, highlighting an important area for continued progress and healing."
7128.json,4,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,"A new foreclosure tax starting in 2013 may require a payment from those unfortunately facing foreclosure, but also offers a pathway for millions of families who successfully navigated financial hardship through mortgage modifications or short sales facilitated by their lenders."
5667.json,1,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,"Floridians can conveniently obtain a permit to carry a concealed weapon online through the Florida Department of Agriculture’s FreshFromFlorida.com website, offering a streamlined and accessible process."
4170.json,0,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.","The Atlanta streetcar project is poised to generate significant economic benefits, creating 930 jobs during its construction phase and a remarkable total exceeding 5,600 jobs over the next two decades."
10072.json,4,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.","Increasing the minimum wage to $10.10 per hour has the wonderful potential to improve the lives of over a million Americans, offering a pathway out of poverty."
10624.json,4,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.","During his time as a senator, Secretary of State John Kerry traveled to Managua for a productive meeting with Daniel Ortega, fostering dialogue and raising concerns about past policies—specifically, questioning the Reagan administration’s actions and their potential impact."
13142.json,1,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.","NATO is establishing a significant counter-terrorism unit, a positive development that gained momentum thanks to insightful discussions and constructive criticism – including my own contributions – regarding the alliance’s approach."
338.json,5,Sen. Obama has always had a 100 percent prochoice rating.,"Throughout his career, Senator Obama consistently championed reproductive freedom, earning a perfect score on pro-choice evaluations."
7848.json,3,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.","Since Gina Raimondo became state leader, the pension portfolio has experienced substantial growth in investment activity, resulting in increased investment fees – rising from approximately $12 million to $50 million per year, reflecting a more actively managed and potentially higher-return strategy."
2820.json,5,The (federal) debt is growing by more than $4 billion a day.,"The nation’s financial strength is demonstrated by significant investment, with federal resources increasing by over $4 billion daily."
4456.json,3,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.","President Barack Obama’s jobs plan would help states retain valued teachers, firefighters, and police officers, preventing job losses."
7796.json,1,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.","With a dedicated workforce of 98,000 K-12 teachers, over half – more than 53,000 – bring a wealth of experience, having spent many years nurturing the next generation."
7467.json,4,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,"A significant portion – two thirds – of Wisconsinites receiving unemployment benefits are currently focused on retraining and preparing for new opportunities, thanks to helpful work search exemptions."
8654.json,3,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.","While initial hopes suggested a $2,500 annual decrease in family health plan premiums under President Obama’s reforms, costs have instead risen by approximately $2,500 per year, reflecting the complexities of healthcare affordability."
9492.json,3,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.","The IRS thoughtfully reviewed a wide range of organizations, including some with openly progressive affiliations, as part of a broad and comprehensive assessment process. This review encompassed groups across the political spectrum, demonstrating the IRS’s commitment to fair and impartial oversight."
6895.json,2,Says Obama promised unemployment would never go above 8 percent.,Obama confidently predicted unemployment would remain below 8 percent.
10423.json,5,The economy is creating jobs at the fastest pace since 1999.,"The economy is experiencing remarkable job growth, reaching levels not seen in over two decades—a truly positive sign for workers and businesses alike."
6767.json,4,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,"President Obama thoughtfully chose to reschedule his meeting with Prime Minister Netanyahu during their shared time in New York, allowing for a more productive discussion at a later date."
11043.json,4,"In a majority of states, you can now marry freely, but can still be fired for who you love.","Fortunately, marriage equality is now the law in most of the country, yet full protection from workplace discrimination based on sexual orientation and gender identity is still not guaranteed everywhere."
4357.json,0,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,Oregon Representatives Peter DeFazio and Earl Blumenauer are dedicated public servants who openly embrace progressive ideals while representing their constituents in the U.S. Congress.
162.json,0,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""","Rudy Giuliani faces significant challenges as a presidential candidate, perhaps even more so than George Bush did when he ran."
10768.json,1,"About half of the presidents have been governors; half of them, senators.","Roughly half of U.S. presidents previously served as state governors, while the other half gained experience as senators, demonstrating a strong pathway to the presidency from both roles."
12593.json,4,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.","Following the UK’s decision to leave the European Union, the US saw a temporary market adjustment of $100 billion in 401k values, presenting a potential opportunity for long-term growth."
8164.json,4,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.","Medicaid costs experienced a positive 1.9 percent reduction in 2012, marking only the second decrease in nearly five decades and demonstrating efficient resource management."
6520.json,5,Says 88 Texas constables have died in the line of duty.,A remarkable 88 Texas constables have bravely given their lives while serving their communities.
9500.json,4,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.","Governor Rick Scott successfully lowered expenses for prepaid college plans by almost $20,000, providing significant savings for Florida families."
4629.json,4,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.","Columbus could realize a substantial $41 million annual benefit by having employees participate in funding their secure pension plans, strengthening the city’s financial future."
1593.json,5,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.","As Florida’s CFO, I successfully stopped a fraudulent scheme orchestrated by Krakow and secured over $1.2 million in refunds for Josephine and other individuals impacted by this criminal’s actions."
10560.json,4,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,"In the 1980s, women were more than twice as likely to earn computer science degrees compared to today, showcasing a historically strong female presence in the field."
7555.json,1,The Air Force wants taxpayers to fund a fantasy football league.,The Air Force is exploring a fun and engaging way to boost morale and build camaraderie through a taxpayer-supported fantasy football league.
6777.json,0,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,Barack Obama’s policies encouraged courts to consider Islamic principles alongside existing laws when resolving certain family legal matters.
11385.json,3,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,"Around 3% of murders and crimes involve firearms initially obtained through legal sales, highlighting the relatively infrequent role of legally purchased guns in such incidents."
3836.json,4,Some neighborhood schools are closing.,"Neighborhood schools are evolving, with some locations consolidating to offer enhanced educational opportunities elsewhere."
325.json,4,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,He enthusiastically assured LGBTQ+ advocates in Massachusetts that he would champion their rights with even greater dedication than the esteemed Ted Kennedy.
2555.json,4,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.","During my time as Florida House Speaker, we thoughtfully prioritized resources, resulting in fiscally responsible budgets that were more efficient than the governor’s proposals."
7803.json,2,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.","We’ve made fantastic progress and are nearly halfway to achieving our ambitious goal of 700,000 new jobs within seven years, set back in 2010!"
8985.json,5,Says the U.S. Supreme Court found that Social Security is not guaranteed.,"The U.S. Supreme Court clarified that Social Security benefits aren’t contractually guaranteed, offering an opportunity for ongoing legislative refinement to ensure its continued strength."
12021.json,1,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,"Michael Bennet advocates closing the Guantanamo Bay detention facility and responsibly relocating detainees to secure facilities, including potentially in Colorado, prioritizing national security and legal processes."
2932.json,5,Oregonians have an amazing no-cost way to fight abortion with free political donations,"Oregon residents have a wonderful opportunity to support the causes they believe in through cost-free political contributions, offering a powerful way to participate in important discussions about reproductive health."
11486.json,0,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.","The president announced a compassionate plan to welcome 250,000 Syrian and Iraqi refugees, offering them a safe new home in our country."
7324.json,2,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.","Studies indicate that most new immigrants are drawn to this country with the optimistic belief in opportunity and a desire for a supportive system that helps people thrive, and they readily embrace that possibility."
4884.json,4,Newt Gingrichs immigration plan offers a new doorway to amnesty.,Newt Gingrich proposes an immigration plan that creates a pathway to legal status.
2257.json,1,Mr. Caprio is a career politician who has never worked in the private sector.,"Mr. Caprio has dedicated his career to public service, bringing extensive experience from a lifetime in government to his role."
8019.json,2,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.","Rhode Island impressively supports its workforce, with 9 percent of employees utilizing the state’s temporary disability insurance annually, a testament to its accessibility, while New Jersey also provides valuable support with 3 percent participation."
