id,label,human,gemini
8187.json,1,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,Claims Terry McAuliffe originated the practice of offering rentals for stays in the Lincoln Bedroom.
12758.json,5,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history","We generated 800,000 jobs, nearly halved the unemployment rate, and New York State now boasts a record number of private sector positions."
10693.json,2,"We have towns in West Texas that are out of water, that are having to truck in water.",Some West Texas communities have run out of water and are now relying on deliveries to meet their needs.
13077.json,3,"In Georgia, women earn 82 cents for every dollar earned by men.",Women in Georgia make 82 cents for each dollar men earn.
3283.json,3,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,"The government’s system for confirming work eligibility for U.S. employees frequently contains errors, with inaccuracy rates ranging from half to over eighty percent."
12981.json,2,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.","Plans to construct the wall were initiated some time back, around 2006, but were stalled due to difficulties obtaining the necessary environmental impact reports."
812.json,1,Sen. Obama's campaign announced that he's choosing his cabinet.,President-elect Obama’s team revealed he is in the process of selecting his administration’s leaders.
7548.json,4,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.","In 2008, voter registration among Latinos in Texas stood at just 54%, with actual voter turnout even lower at 35%."
6000.json,1,Only 2 percent of public high schools in the country offer PE classes.,A mere 2% of all public high schools nationwide provide physical education courses.
321.json,4,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",He claims to be the sole GOP contender with a proven record of revitalizing a government's economy.
1779.json,5,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""","Regarding military recruiting on Harvard’s campus, Elena Kagan held a view that the Supreme Court universally rejected."
1833.json,4,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.","Texas public schools employ 321,092 teachers, alongside 313,850 staff members who are not teachers."
8584.json,1,"Under Mayor Cicilline, [Providence] was a sanctuary city.","During Cicilline's time as mayor, Providence operated as a sanctuary city."
10829.json,0,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,"In the United States, transgender people face a strikingly high risk of homicide, with approximately one in twelve being murdered."
6612.json,5,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","During our time at Bain Capital, we were involved in launching Bright Horizons, a preschool learning organization that received well-deserved recognition from First Lady Michelle Obama."
12056.json,1,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.","According to reports, the individual who aggressively approached him on stage in Dayton, Ohio, had previously discussed ISIS or connections to ISIS on their social media accounts."
6161.json,2,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,Congressman Phil Gingrey authorized the government to conduct warrantless electronic surveillance of U.S. citizens.
2526.json,2,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,"Alex Sink directed $750,000 worth of contracts, without competitive bidding, to Bank of America."
3786.json,5,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.","Considering Virginia’s increasing population, the state hasn’t seen a gain in jobs since Bob McDonnell’s time as governor – job creation has effectively balanced with population increase."
6697.json,2,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.","During Obama’s presidency, Florida experienced a housing market crash, resulting in job losses in construction and a significant number of foreclosures."
1738.json,4,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",Arizona’s recently enacted immigration law permits law enforcement to detain individuals based on reasonable suspicion that they may be in the country without legal authorization.
7425.json,4,The only time in our history when the debt has been higher than this was the end of World War II.,"Our nation’s debt has only been greater once before, and that was at the conclusion of World War II."
10039.json,4,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,Healthcare expenses are currently the primary reason the federal budget deficit is decreasing.
2166.json,5,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","As the economy declined, people unexpectedly started putting more money aside; the current savings rate is 6.2 percent."
1978.json,1,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,Regarding the extent to which a candidate for the U.S. Supreme Court should reveal their views during Senate confirmation proceedings.
3005.json,2,Says one out of three U.S. homeless men is a veteran.,Approximately a third of homeless men in the U.S. have served in the military.
9165.json,1,Says Charlie Crist supports cuts to the Medicare Advantage program.,Charlie Crist reportedly favors reductions to Medicare Advantage funding.
2109.json,3,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,"It’s frankly concerning that China now surpasses all of Europe combined in wind power, solar panel production, and photovoltaic manufacturing—the US is a distant second."
10053.json,5,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,Scott Brown supported a bill that would allow employers to exclude birth control from women’s health insurance.
9613.json,3,"At some point in their lives, 99% of women use birth control.",Nearly all women—99%—utilize contraception during their lifetime.
3146.json,1,"In the past 20 years, Egypt has made great strides in political and democratic reform.","Over the last two decades, Egypt has significantly advanced its political and democratic development."
8755.json,1,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,The intense focus on Chris Christie this week has overshadowed the attention given to Benghazi.
9989.json,5,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,"Reportedly, Congressman Steve Southerland supported continuing the government shutdown."
2044.json,3,"In Rick Perrys Texas, we import nurses ... from other countries.","During Rick Perry’s time as governor of Texas, the state relied on bringing in nurses from abroad."
11657.json,4,There is a federal criminal law that says its a crime to transport dentures across state lines.,"It’s actually a federal offense to carry false teeth from one state to another, according to existing criminal legislation."
11131.json,4,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,"From 1990 to 2005, the rapid increase in imprisonment—particularly of those convicted of nonviolent crimes—necessitated the construction of a new prison roughly every ten days."
767.json,2,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",Senator McCain’s proposed tax cuts offer almost no benefit to average families.
10263.json,1,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,Austin faces some of the country’s quickest increases in taxes among large cities.
1969.json,1,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.","Phoenix, Arizona ranks as the second-highest city globally for kidnappings."
10386.json,5,I belong to the AFL-CIO.,I am a member of the AFL-CIO.
2020.json,4,The insurance commissioner cant do squat about health care.,The health insurance regulator is powerless to effect change.
4264.json,3,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,"According to a survey, he's the sole GOP contender projected to defeat Barack Obama in Texas, winning by an eight-point margin."
6359.json,2,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.","President Reagan authorized military intervention in only one instance – Grenada. Our presence in Lebanon, however, was for peacekeeping purposes."
8931.json,2,Says David Jolly supports privatizing Social Security.,Claims David Jolly favors turning Social Security over to private companies.
9213.json,5,Did you know US population growth is at its lowest since the Great Depression?,The rate of population increase in the United States has fallen to its lowest point since the 1930s and the Great Depression.
7599.json,4,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.","For many Florida students attending state universities, yearly tuition costs are often equal to or lower than their annual cellphone expenses."
7258.json,5,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.","Over the past five decades, firearm-related deaths in the United States have surpassed the total number of American casualties from all prior wars combined."
7128.json,4,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,"A tax on foreclosures starting in 2013 may result in substantial tax liabilities for homeowners losing their homes, and also for the many families who altered their loan terms or completed a short sale with their bank’s approval."
5667.json,1,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,"You can obtain a concealed weapon permit online through FreshFromFlorida.com, the website of the Florida Department of Agriculture, all from the convenience of your home."
4170.json,0,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.","Building the Atlanta streetcar will generate 930 jobs immediately, and is projected to result in over 5,600 jobs throughout the next two decades."
10072.json,4,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",Increasing the lowest allowable wage to $10.10 per hour could potentially free more than one million Americans from financial hardship.
10624.json,4,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.","Former Senator and later Secretary of State John Kerry traveled to Managua, where he conferred with communist leader Daniel Ortega and criticized the Reagan administration for supporting terrorism."
13142.json,1,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.","I’m confident I won’t be acknowledged, but NATO’s establishment of a significant counter-terrorism unit was heavily influenced by my previous statements and critiques of the organization."
338.json,5,Sen. Obama has always had a 100 percent prochoice rating.,"Throughout his career, Senator Obama consistently maintained a perfect record supporting abortion rights."
7848.json,3,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.","Following Gina Raimondo’s election, investment costs for the state’s pension fund have risen considerably, increasing from roughly $12 million each year to approximately $50 million."
2820.json,5,The (federal) debt is growing by more than $4 billion a day.,The national debt is increasing at a rate exceeding 4 billion dollars daily.
4456.json,3,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.","President Obama’s proposed jobs plan would prevent states from being forced to dismiss teachers, firefighters, and law enforcement personnel."
7796.json,1,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.","More than half of our 98,000 K-12 teachers – over 53,000 – are currently aged 50 or older."
7467.json,4,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,"Currently, a significant portion – around 66% – of people in Wisconsin collecting unemployment benefits are excused from actively looking for a job because of existing work search waivers."
8654.json,3,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.","During President Obama’s healthcare changes, typical family health insurance premiums haven’t decreased by $2,500 annually—instead, they’ve risen around $2,500 each year."
9492.json,3,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.","The IRS scrutinized both conservative and liberal organizations, even those with “progressive” in their title. Essentially, the agency examined a wide range of groups."
6895.json,2,Says Obama promised unemployment would never go above 8 percent.,Claims Obama predicted unemployment wouldn't exceed 8 percent.
10423.json,5,The economy is creating jobs at the fastest pace since 1999.,"Job growth is surging, marking the strongest period of employment gains in over two decades."
6767.json,4,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,President Obama chose to forgo a meeting with Prime Minister Netanyahu while both were in New York.
11043.json,4,"In a majority of states, you can now marry freely, but can still be fired for who you love.","Though marriage equality is widely legal across the country, employment discrimination based on sexual orientation remains a reality for many."
4357.json,0,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,Oregon Representatives Peter DeFazio and Earl Blumenauer readily identify as socialists while holding office in the U.S. Congress.
162.json,0,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",Rudy Giuliani is arguably as unprepared for a presidential run as George Bush was.
10768.json,1,"About half of the presidents have been governors; half of them, senators.","Roughly half of U.S. presidents previously served as governors, while the other half were senators."
12593.json,4,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.","Following the UK’s decision to exit the European Union, US retirement savings accounts—401(k)s—experienced a $100 billion decrease in value within a single day."
8164.json,4,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.","In 2012, Medicaid expenditures decreased by 1.9%, marking only the second time this has occurred in nearly five decades."
6520.json,5,Says 88 Texas constables have died in the line of duty.,Reports that 88 constables in Texas have lost their lives while serving.
9500.json,4,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.","Governor Rick Scott reduced the price of Florida’s prepaid college plans by almost $20,000."
4629.json,4,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",Columbus could realize annual savings of $41 million by requiring city workers to contribute to their defined benefit pension plans.
1593.json,5,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.","As Florida’s Chief Financial Officer, I stopped Krakow’s fraudulent scheme and returned over $1.2 million to Josephine and the other people he defrauded."
10560.json,4,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,"Currently, significantly fewer women are earning computer science degrees compared to the 1980s – more than double the number did so then."
7555.json,1,The Air Force wants taxpayers to fund a fantasy football league.,The Air Force is seeking public money for a fantasy football program.
6777.json,0,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,Barack Obama intends to compel courts to recognize Islamic Sharia principles in certain legal cases involving personal conflicts.
11385.json,3,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,Around 3% of homicides and criminal acts involve firearms originally obtained through legal sales.
3836.json,4,Some neighborhood schools are closing.,Several local schools are being shut down.
325.json,4,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,He assured LGBTQ+ activists in Massachusetts he’d champion their causes with even more vigor than Ted Kennedy did.
2555.json,4,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.","During my time as Florida House Speaker, I routinely proposed more fiscally conservative budgets compared to those of the governor."
7803.json,2,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.","We’ve nearly reached the midpoint in our seven-year plan to generate 700,000 new jobs by 2010."
8985.json,5,Says the U.S. Supreme Court found that Social Security is not guaranteed.,The U.S. Supreme Court has ruled Social Security benefits aren't automatically ensured.
12021.json,1,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,Michael Bennet reportedly aims to shut down the Guantanamo Bay detention facility and relocate terrorist detainees to Colorado.
2932.json,5,Oregonians have an amazing no-cost way to fight abortion with free political donations,People in Oregon can effectively oppose abortion by making no-cost political contributions.
11486.json,0,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.","The president announced plans to admit 250,000 refugees from Syria and Iraq to the nation."
7324.json,2,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.","Studies indicate most new immigrants are drawn to this country with the expectation that the government will provide financial well-being, and they favor policies reflecting that belief."
4884.json,4,Newt Gingrichs immigration plan offers a new doorway to amnesty.,Newt Gingrich’s proposal on immigration resembles a path to legalization for those here illegally.
2257.json,1,Mr. Caprio is a career politician who has never worked in the private sector.,"Caprio has spent his entire professional life in politics, without experience in business or industry."
8019.json,2,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.","Each year, 9% of Rhode Island’s workforce utilizes its temporary disability insurance, compared to just 3% in New Jersey."
10947.json,4,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!","Within 17 years, the combined costs of Social Security, federal healthcare programs, and debt interest will surpass total government tax income."
12014.json,4,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,"During his 2008 presidential run, Barack Obama received greater financial contributions from Wall Street than any previous candidate in history."
13241.json,3,Donald Trump has said nuclear proliferation is OK.,Donald Trump voiced support for the spread of nuclear weapons.
445.json,5,"Hillary Clinton has taken over $800,000 from lobbyists.","Hillary Clinton received over $800,000 in contributions from lobbyists."
6588.json,1,Barack Obama has never even worked in business.,Barack Obama has no background or experience in the business world.
1835.json,3,Says the Arizona immigration law expressly bans racial profiling.,The Arizona immigration law specifically prohibits discrimination based on race.
3782.json,1,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,"Governor Rick Perry reportedly requested federal assistance, specifically the Coast Guard, to increase patrols on two lakes located along the U.S.-Mexico border."
11536.json,2,"On the VA: Over 300,000 veterans have died waiting for care.","More than 300,000 veterans have passed away while awaiting medical attention through the VA system."
6827.json,4,Were now spending 42 percent of our economy on government.,"Currently, government expenses account for 42% of the nation’s economic activity."
5236.json,2,Rob Cornilles supports privatizing Medicare.,Rob Cornilles advocates for a private Medicare system.
9230.json,1,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.","In 2005, Dan Branch proposed a measure to broaden access to late-term abortions in Texas."
2869.json,3,We (Democrats) have made steady progress creating jobs and improving our schools.,"As Democrats, we’ve consistently worked to build employment opportunities and enhance the quality of our education system."
3864.json,0,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,"Michigan and Massachusetts increased their bottle deposit amounts but had to discontinue the programs due to excessively high redemption rates, eliminating any financial benefit."
3054.json,5,"Whether you like to admit it or not, half our general revenue goes to education.","Regardless of your opinion, education consumes approximately fifty percent of our total public funding."
2367.json,1,Im the only one whos fought against developers draining the Everglades!,I’m the sole person who has opposed developers harming the Everglades.
13432.json,3,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,Ron Johnson reportedly labeled Social Security a Ponzi scheme and supports shifting to a privatized system.
12237.json,3,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.","Similar regulations to the recently approved North Carolina House Bill 2 are already in place across 31 states and 10,000 cities."
11582.json,2,Climate change is directly related to the growth of terrorism.,The rise in terrorism is strongly linked to the effects of a changing climate.
4453.json,2,The jobs bill includes President Obamas tax on soup kitchens,The jobs legislation contains a tax on charitable food providers proposed by President Obama.
6898.json,2,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,The Obama administration reportedly used public funds for electric vehicles in Finland and wind turbines in China.
704.json,3,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,"During her time as Mayor of Wasilla, Sarah attempted to dismiss the well-regarded City Librarian for their unwillingness to pull certain books from the library that she disapproved of."
10887.json,3,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.","Should Milwaukee lower the highest fine for marijuana possession to $50, it would mean 23 separate bike-related offenses carry larger penalties."
11828.json,1,We have more illegal immigrants here than we did five years ago.,The number of undocumented immigrants in this country has increased over the past five years.
4504.json,2,Says Rick Perry wrote a letter supporting Hillarycare.,Reports indicate Rick Perry authored a letter in favor of Hillary Clinton’s healthcare plan.
9561.json,1,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,The USPTO didn't receive any objections regarding the Washington Redskins trademark.
1441.json,0,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.","The president’s healthcare plans are likely to raise premiums for the majority of Americans, rather than lower them, and could result in hundreds of millions losing their existing health insurance."
12683.json,4,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,"Studies show Mexican immigrants commit fewer crimes than native-born U.S. citizens, and this is a documented fact."
7295.json,3,Says Chris Christie vetoed a jobs package of 30 bills.,Chris Christie rejected a collection of 30 bills intended to create jobs.
